protein_a,protein_b,length_aa,length_a,length_b,rank_count,peak_score_rank_1,peak_score_rank_2,peak_score_rank_3,peak_score_min,peak_score_max,ptm_rank_1,ptm_rank_2,ptm_rank_3,ptm_min,ptm_max,iptm_rank_1,iptm_rank_2,iptm_rank_3,iptm_min,iptm_max,max_pae_rank_1,max_pae_rank_2,max_pae_rank_3,max_pae_min,max_pae_max,bait,partner,peak_avg,peak_max_norm,peak_min_norm,peak_values_norm,ptm_avg,iptm_avg,ptm_values,iptm_values,uniprot_url
A1AG2_HUMAN,S22A7_HUMAN,749,201,548,3,3.0,5.0,22.0,3.0,22.0,0.74,0.69,0.62,0.62,0.74,0.52,0.37,0.13,0.13,0.52,31.671875,31.65625,31.65625,31.65625,31.671875,A1AG2_HUMAN,S22A7_HUMAN,0.6666666666666666,0.9,0.2666666666666667,0.9:0.833:0.267,0.6833333333333332,0.34,0.74:0.69:0.62,0.52:0.37:0.13,https://www.uniprot.org/uniprotkb/S22A7_HUMAN/entry
A1AG2_HUMAN,SNTB1_HUMAN,739,201,538,3,10.0,13.0,21.0,10.0,21.0,0.5,0.51,0.51,0.5,0.51,0.21,0.19,0.14,0.14,0.21,31.71875,31.65625,31.71875,31.65625,31.71875,A1AG2_HUMAN,SNTB1_HUMAN,0.5111111111111112,0.6666666666666667,0.30000000000000004,0.667:0.567:0.3,0.5066666666666667,0.18000000000000002,0.5:0.51:0.51,0.21:0.19:0.14,https://www.uniprot.org/uniprotkb/SNTB1_HUMAN/entry
A1AG2_HUMAN,VASN_HUMAN,874,201,673,3,11.0,12.0,16.0,11.0,16.0,0.48,0.47,0.46,0.46,0.48,0.32,0.23,0.21,0.21,0.32,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,VASN_HUMAN,0.5666666666666668,0.6333333333333333,0.4666666666666667,0.633:0.6:0.467,0.47,0.25333333333333335,0.48:0.47:0.46,0.32:0.23:0.21,https://www.uniprot.org/uniprotkb/VASN_HUMAN/entry
A1AG2_HUMAN,2ABB_HUMAN,644,201,443,3,12.0,17.0,18.0,12.0,18.0,0.63,0.63,0.64,0.63,0.64,0.17,0.15,0.14,0.14,0.17,31.6875,31.671875,31.6875,31.671875,31.6875,A1AG2_HUMAN,2ABB_HUMAN,0.4777777777777777,0.6,0.4,0.6:0.433:0.4,0.6333333333333333,0.15333333333333335,0.63:0.63:0.64,0.17:0.15:0.14,https://www.uniprot.org/uniprotkb/2ABB_HUMAN/entry
A1AG2_HUMAN,APEX1_HUMAN,519,201,318,3,14.0,20.0,21.0,14.0,21.0,0.6,0.58,0.58,0.58,0.6,0.21,0.14,0.13,0.13,0.21,31.71875,31.734375,31.734375,31.71875,31.734375,A1AG2_HUMAN,APEX1_HUMAN,0.3888888888888889,0.5333333333333333,0.30000000000000004,0.533:0.333:0.3,0.5866666666666666,0.16,0.6:0.58:0.58,0.21:0.14:0.13,https://www.uniprot.org/uniprotkb/APEX1_HUMAN/entry
A1AG2_HUMAN,B3GA2_HUMAN,524,201,323,3,7.0,8.0,9.0,7.0,9.0,0.51,0.5,0.51,0.5,0.51,0.22,0.19,0.17,0.17,0.22,31.671875,31.703125,31.71875,31.671875,31.71875,A1AG2_HUMAN,B3GA2_HUMAN,0.7333333333333334,0.7666666666666666,0.7,0.767:0.733:0.7,0.5066666666666667,0.19333333333333336,0.51:0.5:0.51,0.22:0.19:0.17,https://www.uniprot.org/uniprotkb/B3GA2_HUMAN/entry
A1AG2_HUMAN,BPIB1_HUMAN,685,201,484,3,4.0,9.0,9.0,4.0,9.0,0.71,0.68,0.68,0.68,0.71,0.5,0.39,0.39,0.39,0.5,31.6875,31.625,31.703125,31.625,31.703125,A1AG2_HUMAN,BPIB1_HUMAN,0.7555555555555555,0.8666666666666667,0.7,0.867:0.7:0.7,0.6900000000000001,0.4266666666666667,0.71:0.68:0.68,0.5:0.39:0.39,https://www.uniprot.org/uniprotkb/BPIB1_HUMAN/entry
A1AG2_HUMAN,CEBPA_HUMAN,559,201,358,3,2.0,4.0,5.0,2.0,5.0,0.42,0.41,0.4,0.4,0.42,0.57,0.38,0.25,0.25,0.57,31.6875,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,CEBPA_HUMAN,0.8777777777777778,0.9333333333333333,0.8333333333333334,0.933:0.867:0.833,0.41,0.39999999999999997,0.42:0.41:0.4,0.57:0.38:0.25,https://www.uniprot.org/uniprotkb/CEBPA_HUMAN/entry
A1AG2_HUMAN,CEL_HUMAN,954,201,753,3,7.0,5.0,5.0,5.0,7.0,0.61,0.61,0.61,0.61,0.61,0.37,0.35,0.33,0.33,0.37,31.6875,31.703125,31.71875,31.6875,31.71875,A1AG2_HUMAN,CEL_HUMAN,0.8111111111111112,0.8333333333333334,0.7666666666666666,0.767:0.833:0.833,0.61,0.35000000000000003,0.61:0.61:0.61,0.37:0.35:0.33,https://www.uniprot.org/uniprotkb/CEL_HUMAN/entry
A1AG2_HUMAN,CP39A_HUMAN,670,201,469,3,16.0,20.0,24.0,16.0,24.0,0.67,0.67,0.67,0.67,0.67,0.14,0.14,0.12,0.12,0.14,31.703125,31.703125,31.6875,31.6875,31.703125,A1AG2_HUMAN,CP39A_HUMAN,0.3333333333333333,0.4666666666666667,0.19999999999999996,0.467:0.333:0.2,0.67,0.13333333333333333,0.67:0.67:0.67,0.14:0.14:0.12,https://www.uniprot.org/uniprotkb/CP39A_HUMAN/entry
A1AG2_HUMAN,CP3A5_HUMAN,703,201,502,3,15.0,16.0,19.0,15.0,19.0,0.69,0.69,0.7,0.69,0.7,0.17,0.16,0.14,0.14,0.17,31.6875,31.6875,31.671875,31.671875,31.6875,A1AG2_HUMAN,CP3A5_HUMAN,0.4444444444444445,0.5,0.3666666666666667,0.5:0.467:0.367,0.6933333333333334,0.15666666666666668,0.69:0.69:0.7,0.17:0.16:0.14,https://www.uniprot.org/uniprotkb/CP3A5_HUMAN/entry
A1AG2_HUMAN,DCD_HUMAN,311,201,110,3,4.0,3.0,5.0,3.0,5.0,0.61,0.61,0.62,0.61,0.62,0.23,0.22,0.2,0.2,0.23,31.671875,31.71875,31.71875,31.671875,31.71875,A1AG2_HUMAN,DCD_HUMAN,0.8666666666666667,0.9,0.8333333333333334,0.867:0.9:0.833,0.6133333333333333,0.21666666666666667,0.61:0.61:0.62,0.23:0.22:0.2,https://www.uniprot.org/uniprotkb/DCD_HUMAN/entry
A1AG2_HUMAN,FCN2_HUMAN,514,201,313,3,5.0,12.0,10.0,5.0,12.0,0.48,0.5,0.47,0.47,0.5,0.29,0.18,0.16,0.16,0.29,31.703125,31.734375,31.734375,31.703125,31.734375,A1AG2_HUMAN,FCN2_HUMAN,0.7000000000000001,0.8333333333333334,0.6,0.833:0.6:0.667,0.48333333333333334,0.21,0.48:0.5:0.47,0.29:0.18:0.16,https://www.uniprot.org/uniprotkb/FCN2_HUMAN/entry
A1AG2_HUMAN,FETUB_HUMAN,583,201,382,3,15.0,15.0,19.0,15.0,19.0,0.57,0.57,0.56,0.56,0.57,0.18,0.17,0.14,0.14,0.18,31.703125,31.71875,31.71875,31.703125,31.71875,A1AG2_HUMAN,FETUB_HUMAN,0.45555555555555555,0.5,0.3666666666666667,0.5:0.5:0.367,0.5666666666666667,0.16333333333333333,0.57:0.57:0.56,0.18:0.17:0.14,https://www.uniprot.org/uniprotkb/FETUB_HUMAN/entry
A1AG2_HUMAN,FUT8_HUMAN,776,201,575,3,15.0,15.0,15.0,15.0,15.0,0.66,0.65,0.65,0.65,0.66,0.22,0.21,0.2,0.2,0.22,31.703125,31.734375,31.734375,31.703125,31.734375,A1AG2_HUMAN,FUT8_HUMAN,0.5,0.5,0.5,0.5:0.5:0.5,0.6533333333333333,0.21,0.66:0.65:0.65,0.22:0.21:0.2,https://www.uniprot.org/uniprotkb/FUT8_HUMAN/entry
A1AG2_HUMAN,G6PC1_HUMAN,558,201,357,3,9.0,13.0,13.0,9.0,13.0,0.7,0.66,0.65,0.65,0.7,0.31,0.22,0.18,0.18,0.31,31.34375,31.21875,31.5,31.21875,31.5,A1AG2_HUMAN,G6PC1_HUMAN,0.611111111111111,0.7,0.5666666666666667,0.7:0.567:0.567,0.6699999999999999,0.23666666666666666,0.7:0.66:0.65,0.31:0.22:0.18,https://www.uniprot.org/uniprotkb/G6PC1_HUMAN/entry
A1AG2_HUMAN,HBA_HUMAN,343,201,142,3,10.0,11.0,12.0,10.0,12.0,0.59,0.58,0.58,0.58,0.59,0.21,0.2,0.19,0.19,0.21,31.625,31.640625,31.671875,31.625,31.671875,A1AG2_HUMAN,HBA_HUMAN,0.6333333333333333,0.6666666666666667,0.6,0.667:0.633:0.6,0.5833333333333334,0.20000000000000004,0.59:0.58:0.58,0.21:0.2:0.19,https://www.uniprot.org/uniprotkb/HBA_HUMAN/entry
A1AG2_HUMAN,HNF4A_HUMAN,675,201,474,3,10.0,14.0,13.0,10.0,14.0,0.41,0.41,0.41,0.41,0.41,0.24,0.19,0.18,0.18,0.24,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,HNF4A_HUMAN,0.5888888888888889,0.6666666666666667,0.5333333333333333,0.667:0.533:0.567,0.41,0.20333333333333334,0.41:0.41:0.41,0.24:0.19:0.18,https://www.uniprot.org/uniprotkb/HNF4A_HUMAN/entry
A1AG2_HUMAN,I12R2_HUMAN,1063,201,862,3,3.0,6.0,9.0,3.0,9.0,0.59,0.49,0.47,0.47,0.59,0.7,0.4,0.32,0.32,0.7,31.703125,31.734375,31.703125,31.703125,31.734375,A1AG2_HUMAN,I12R2_HUMAN,0.8000000000000002,0.9,0.7,0.9:0.8:0.7,0.5166666666666667,0.4733333333333334,0.59:0.49:0.47,0.7:0.4:0.32,https://www.uniprot.org/uniprotkb/I12R2_HUMAN/entry
A1AG2_HUMAN,ICE1_HUMAN,2467,201,2266,3,4.0,5.0,6.0,4.0,6.0,0.32,0.33,0.32,0.32,0.33,0.37,0.36,0.35,0.35,0.37,31.734375,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,ICE1_HUMAN,0.8333333333333334,0.8666666666666667,0.8,0.867:0.833:0.8,0.3233333333333333,0.36000000000000004,0.32:0.33:0.32,0.37:0.36:0.35,https://www.uniprot.org/uniprotkb/ICE1_HUMAN/entry
A1AG2_HUMAN,IL13_HUMAN,347,201,146,3,7.0,8.0,7.0,7.0,8.0,0.61,0.62,0.6,0.6,0.62,0.29,0.29,0.24,0.24,0.29,31.6875,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,IL13_HUMAN,0.7555555555555555,0.7666666666666666,0.7333333333333334,0.767:0.733:0.767,0.61,0.2733333333333333,0.61:0.62:0.6,0.29:0.29:0.24,https://www.uniprot.org/uniprotkb/IL13_HUMAN/entry
A1AG2_HUMAN,IL23R_HUMAN,830,201,629,3,10.0,15.0,23.0,10.0,23.0,0.43,0.4,0.39,0.39,0.43,0.28,0.17,0.14,0.14,0.28,31.71875,31.734375,31.71875,31.71875,31.734375,A1AG2_HUMAN,IL23R_HUMAN,0.4666666666666666,0.6666666666666667,0.23333333333333328,0.667:0.5:0.233,0.40666666666666673,0.19666666666666668,0.43:0.4:0.39,0.28:0.17:0.14,https://www.uniprot.org/uniprotkb/IL23R_HUMAN/entry
A1AG2_HUMAN,KIZ_HUMAN,874,201,673,3,3.0,3.0,3.0,3.0,3.0,0.32,0.31,0.31,0.31,0.32,0.52,0.47,0.38,0.38,0.52,31.734375,31.71875,31.71875,31.71875,31.734375,A1AG2_HUMAN,KIZ_HUMAN,0.9,0.9,0.9,0.9:0.9:0.9,0.3133333333333333,0.4566666666666667,0.32:0.31:0.31,0.52:0.47:0.38,https://www.uniprot.org/uniprotkb/KIZ_HUMAN/entry
A1AG2_HUMAN,LCN1_HUMAN,377,201,176,3,1.0,2.0,7.0,1.0,7.0,0.8,0.79,0.54,0.54,0.8,0.74,0.73,0.25,0.25,0.74,31.609375,31.5,31.65625,31.5,31.65625,A1AG2_HUMAN,LCN1_HUMAN,0.8888888888888888,0.9666666666666667,0.7666666666666666,0.967:0.933:0.767,0.71,0.5733333333333334,0.8:0.79:0.54,0.74:0.73:0.25,https://www.uniprot.org/uniprotkb/LCN1_HUMAN/entry
A1AG2_HUMAN,MTR1L_HUMAN,818,201,617,3,9.0,9.0,14.0,9.0,14.0,0.44,0.42,0.45,0.42,0.45,0.28,0.25,0.24,0.24,0.28,31.703125,31.703125,31.734375,31.703125,31.734375,A1AG2_HUMAN,MTR1L_HUMAN,0.6444444444444444,0.7,0.5333333333333333,0.7:0.7:0.533,0.4366666666666667,0.25666666666666665,0.44:0.42:0.45,0.28:0.25:0.24,https://www.uniprot.org/uniprotkb/MTR1L_HUMAN/entry
A1AG2_HUMAN,PEDF_HUMAN,619,201,418,3,8.0,10.0,11.0,8.0,11.0,0.65,0.64,0.63,0.63,0.65,0.25,0.19,0.19,0.19,0.25,31.65625,31.71875,31.71875,31.65625,31.71875,A1AG2_HUMAN,PEDF_HUMAN,0.6777777777777777,0.7333333333333334,0.6333333333333333,0.733:0.667:0.633,0.64,0.21,0.65:0.64:0.63,0.25:0.19:0.19,https://www.uniprot.org/uniprotkb/PEDF_HUMAN/entry
A1AG2_HUMAN,PGRP2_HUMAN,777,201,576,3,8.0,9.0,19.0,8.0,19.0,0.63,0.63,0.63,0.63,0.63,0.25,0.23,0.16,0.16,0.25,31.6875,31.71875,31.703125,31.6875,31.71875,A1AG2_HUMAN,PGRP2_HUMAN,0.6,0.7333333333333334,0.3666666666666667,0.733:0.7:0.367,0.63,0.21333333333333335,0.63:0.63:0.63,0.25:0.23:0.16,https://www.uniprot.org/uniprotkb/PGRP2_HUMAN/entry
A1AG2_HUMAN,S13A5_HUMAN,769,201,568,3,20.0,23.0,23.0,20.0,23.0,0.66,0.66,0.65,0.65,0.66,0.15,0.14,0.13,0.13,0.15,31.65625,31.65625,31.703125,31.65625,31.703125,A1AG2_HUMAN,S13A5_HUMAN,0.26666666666666666,0.33333333333333337,0.23333333333333328,0.333:0.233:0.233,0.6566666666666667,0.14,0.66:0.66:0.65,0.15:0.14:0.13,https://www.uniprot.org/uniprotkb/S13A5_HUMAN/entry
A1AG2_HUMAN,SO1B3_HUMAN,903,201,702,3,13.0,19.0,19.0,13.0,19.0,0.64,0.64,0.64,0.64,0.64,0.2,0.18,0.16,0.16,0.2,31.71875,31.734375,31.71875,31.71875,31.734375,A1AG2_HUMAN,SO1B3_HUMAN,0.43333333333333335,0.5666666666666667,0.3666666666666667,0.567:0.367:0.367,0.64,0.18000000000000002,0.64:0.64:0.64,0.2:0.18:0.16,https://www.uniprot.org/uniprotkb/SO1B3_HUMAN/entry
A1AG2_HUMAN,SPA12_HUMAN,615,201,414,3,6.0,6.0,5.0,5.0,6.0,0.6,0.6,0.59,0.59,0.6,0.3,0.29,0.25,0.25,0.3,31.671875,31.6875,31.703125,31.671875,31.703125,A1AG2_HUMAN,SPA12_HUMAN,0.8111111111111112,0.8333333333333334,0.8,0.8:0.8:0.833,0.5966666666666667,0.27999999999999997,0.6:0.6:0.59,0.3:0.29:0.25,https://www.uniprot.org/uniprotkb/SPA12_HUMAN/entry
A1AG2_HUMAN,STEA4_HUMAN,660,201,459,3,17.0,22.0,24.0,17.0,24.0,0.61,0.59,0.58,0.58,0.61,0.17,0.13,0.12,0.12,0.17,31.71875,31.65625,31.71875,31.65625,31.71875,A1AG2_HUMAN,STEA4_HUMAN,0.3,0.43333333333333335,0.19999999999999996,0.433:0.267:0.2,0.5933333333333333,0.14,0.61:0.59:0.58,0.17:0.13:0.12,https://www.uniprot.org/uniprotkb/STEA4_HUMAN/entry
A1AG2_HUMAN,STOM_HUMAN,489,201,288,3,12.0,16.0,17.0,12.0,17.0,0.44,0.43,0.42,0.42,0.44,0.14,0.12,0.12,0.12,0.14,31.703125,31.703125,31.703125,31.703125,31.703125,A1AG2_HUMAN,STOM_HUMAN,0.5,0.6,0.43333333333333335,0.6:0.467:0.433,0.43,0.12666666666666668,0.44:0.43:0.42,0.14:0.12:0.12,https://www.uniprot.org/uniprotkb/STOM_HUMAN/entry
A1AG2_HUMAN,VKGC_HUMAN,959,201,758,3,18.0,16.0,20.0,16.0,20.0,0.72,0.72,0.71,0.71,0.72,0.21,0.18,0.16,0.16,0.21,31.734375,31.734375,31.6875,31.6875,31.734375,A1AG2_HUMAN,VKGC_HUMAN,0.4000000000000001,0.4666666666666667,0.33333333333333337,0.4:0.467:0.333,0.7166666666666667,0.18333333333333335,0.72:0.72:0.71,0.21:0.18:0.16,https://www.uniprot.org/uniprotkb/VKGC_HUMAN/entry
A1AG2_HUMAN,ZNRF1_HUMAN,428,201,227,3,3.0,3.0,7.0,3.0,7.0,0.5,0.5,0.49,0.49,0.5,0.48,0.3,0.19,0.19,0.48,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,ZNRF1_HUMAN,0.8555555555555555,0.9,0.7666666666666666,0.9:0.9:0.767,0.49666666666666665,0.3233333333333333,0.5:0.5:0.49,0.48:0.3:0.19,https://www.uniprot.org/uniprotkb/ZNRF1_HUMAN/entry
A1AG2_HUMAN,ZPI_HUMAN,645,201,444,3,7.0,8.0,10.0,7.0,10.0,0.6,0.6,0.59,0.59,0.6,0.3,0.28,0.2,0.2,0.3,31.703125,31.703125,31.6875,31.6875,31.703125,A1AG2_HUMAN,ZPI_HUMAN,0.7222222222222223,0.7666666666666666,0.6666666666666667,0.767:0.733:0.667,0.5966666666666667,0.26,0.6:0.6:0.59,0.3:0.28:0.2,https://www.uniprot.org/uniprotkb/ZPI_HUMAN/entry
A1AG2_HUMAN,ALG2_HUMAN,617,201,416,3,5.0,18.0,18.0,5.0,18.0,0.74,0.58,0.6,0.58,0.74,0.58,0.15,0.14,0.14,0.58,31.671875,31.703125,31.703125,31.671875,31.703125,A1AG2_HUMAN,ALG2_HUMAN,0.5444444444444444,0.8333333333333334,0.4,0.833:0.4:0.4,0.64,0.29,0.74:0.58:0.6,0.58:0.15:0.14,https://www.uniprot.org/uniprotkb/ALG2_HUMAN/entry
A1AG2_HUMAN,ALK_HUMAN,1821,201,1620,3,8.0,14.0,16.0,8.0,16.0,0.34,0.35,0.35,0.34,0.35,0.42,0.35,0.26,0.26,0.42,31.71875,31.71875,31.71875,31.71875,31.71875,A1AG2_HUMAN,ALK_HUMAN,0.5777777777777778,0.7333333333333334,0.4666666666666667,0.733:0.533:0.467,0.3466666666666667,0.3433333333333333,0.34:0.35:0.35,0.42:0.35:0.26,https://www.uniprot.org/uniprotkb/ALK_HUMAN/entry
A1AG2_HUMAN,CAMP_HUMAN,371,201,170,3,4.0,6.0,5.0,4.0,6.0,0.56,0.57,0.56,0.56,0.57,0.25,0.22,0.2,0.2,0.25,31.703125,31.65625,31.59375,31.59375,31.703125,A1AG2_HUMAN,CAMP_HUMAN,0.8333333333333334,0.8666666666666667,0.8,0.867:0.8:0.833,0.5633333333333334,0.2233333333333333,0.56:0.57:0.56,0.25:0.22:0.2,https://www.uniprot.org/uniprotkb/CAMP_HUMAN/entry
A1AG2_HUMAN,CCL23_HUMAN,321,201,120,3,4.0,5.0,7.0,4.0,7.0,0.61,0.62,0.61,0.61,0.62,0.32,0.25,0.19,0.19,0.32,31.71875,31.65625,31.71875,31.65625,31.71875,A1AG2_HUMAN,CCL23_HUMAN,0.8222222222222223,0.8666666666666667,0.7666666666666666,0.867:0.833:0.767,0.6133333333333333,0.25333333333333335,0.61:0.62:0.61,0.32:0.25:0.19,https://www.uniprot.org/uniprotkb/CCL23_HUMAN/entry
A1AG2_HUMAN,CI040_HUMAN,395,201,194,3,5.0,4.0,6.0,4.0,6.0,0.52,0.52,0.52,0.52,0.52,0.24,0.23,0.22,0.22,0.24,31.6875,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,CI040_HUMAN,0.8333333333333334,0.8666666666666667,0.8,0.833:0.867:0.8,0.52,0.22999999999999998,0.52:0.52:0.52,0.24:0.23:0.22,https://www.uniprot.org/uniprotkb/CI040_HUMAN/entry
A1AG2_HUMAN,COG5_HUMAN,1061,201,860,3,7.0,8.0,11.0,7.0,11.0,0.58,0.58,0.59,0.58,0.59,0.29,0.26,0.25,0.25,0.29,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,COG5_HUMAN,0.7111111111111111,0.7666666666666666,0.6333333333333333,0.767:0.733:0.633,0.5833333333333334,0.26666666666666666,0.58:0.58:0.59,0.29:0.26:0.25,https://www.uniprot.org/uniprotkb/COG5_HUMAN/entry
A1AG2_HUMAN,CP250_HUMAN,2643,201,2442,3,25.0,26.0,25.0,25.0,26.0,0.27,0.26,0.27,0.26,0.27,0.24,0.23,0.23,0.23,0.24,31.71875,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,CP250_HUMAN,0.15555555555555553,0.16666666666666663,0.1333333333333333,0.167:0.133:0.167,0.26666666666666666,0.2333333333333333,0.27:0.26:0.27,0.24:0.23:0.23,https://www.uniprot.org/uniprotkb/CP250_HUMAN/entry
A1AG2_HUMAN,CP2B6_HUMAN,692,201,491,3,10.0,14.0,15.0,10.0,15.0,0.76,0.68,0.67,0.67,0.76,0.43,0.18,0.16,0.16,0.43,31.640625,31.65625,31.671875,31.640625,31.671875,A1AG2_HUMAN,CP2B6_HUMAN,0.5666666666666668,0.6666666666666667,0.5,0.667:0.533:0.5,0.7033333333333333,0.25666666666666665,0.76:0.68:0.67,0.43:0.18:0.16,https://www.uniprot.org/uniprotkb/CP2B6_HUMAN/entry
A1AG2_HUMAN,EHD3_HUMAN,736,201,535,3,18.0,14.0,19.0,14.0,19.0,0.56,0.54,0.54,0.54,0.56,0.15,0.15,0.15,0.15,0.15,31.71875,31.734375,31.703125,31.703125,31.734375,A1AG2_HUMAN,EHD3_HUMAN,0.43333333333333335,0.5333333333333333,0.3666666666666667,0.4:0.533:0.367,0.5466666666666667,0.15,0.56:0.54:0.54,0.15:0.15:0.15,https://www.uniprot.org/uniprotkb/EHD3_HUMAN/entry
A1AG2_HUMAN,ENASE_HUMAN,944,201,743,3,13.0,19.0,21.0,13.0,21.0,0.74,0.73,0.73,0.73,0.74,0.28,0.2,0.19,0.19,0.28,31.71875,31.71875,31.6875,31.6875,31.71875,A1AG2_HUMAN,ENASE_HUMAN,0.41111111111111115,0.5666666666666667,0.30000000000000004,0.567:0.367:0.3,0.7333333333333334,0.22333333333333336,0.74:0.73:0.73,0.28:0.2:0.19,https://www.uniprot.org/uniprotkb/ENASE_HUMAN/entry
A1AG2_HUMAN,FMO3_HUMAN,733,201,532,3,8.0,19.0,21.0,8.0,21.0,0.81,0.7,0.71,0.7,0.81,0.51,0.14,0.12,0.12,0.51,31.640625,31.6875,31.609375,31.609375,31.6875,A1AG2_HUMAN,FMO3_HUMAN,0.46666666666666673,0.7333333333333334,0.30000000000000004,0.733:0.367:0.3,0.7399999999999999,0.25666666666666665,0.81:0.7:0.71,0.51:0.14:0.12,https://www.uniprot.org/uniprotkb/FMO3_HUMAN/entry
A1AG2_HUMAN,FUT6_HUMAN,560,201,359,3,17.0,19.0,18.0,17.0,19.0,0.57,0.55,0.55,0.55,0.57,0.15,0.12,0.12,0.12,0.15,31.71875,31.71875,31.703125,31.703125,31.71875,A1AG2_HUMAN,FUT6_HUMAN,0.4000000000000001,0.43333333333333335,0.3666666666666667,0.433:0.367:0.4,0.5566666666666668,0.13,0.57:0.55:0.55,0.15:0.12:0.12,https://www.uniprot.org/uniprotkb/FUT6_HUMAN/entry
A1AG2_HUMAN,HPS5_HUMAN,1330,201,1129,3,7.0,17.0,21.0,7.0,21.0,0.42,0.41,0.4,0.4,0.42,0.35,0.22,0.21,0.21,0.35,31.703125,31.71875,31.71875,31.703125,31.71875,A1AG2_HUMAN,HPS5_HUMAN,0.5,0.7666666666666666,0.30000000000000004,0.767:0.433:0.3,0.41,0.25999999999999995,0.42:0.41:0.4,0.35:0.22:0.21,https://www.uniprot.org/uniprotkb/HPS5_HUMAN/entry
A1AG2_HUMAN,ITIH2_HUMAN,1147,201,946,3,15.0,21.0,19.0,15.0,21.0,0.63,0.56,0.52,0.52,0.63,0.33,0.18,0.17,0.17,0.33,31.671875,31.703125,31.71875,31.671875,31.71875,A1AG2_HUMAN,ITIH2_HUMAN,0.3888888888888889,0.5,0.30000000000000004,0.5:0.3:0.367,0.57,0.22666666666666668,0.63:0.56:0.52,0.33:0.18:0.17,https://www.uniprot.org/uniprotkb/ITIH2_HUMAN/entry
A1AG2_HUMAN,ITIH3_HUMAN,1091,201,890,3,19.0,19.0,20.0,19.0,20.0,0.55,0.54,0.54,0.54,0.55,0.25,0.22,0.17,0.17,0.25,31.734375,31.71875,31.6875,31.6875,31.734375,A1AG2_HUMAN,ITIH3_HUMAN,0.3555555555555556,0.3666666666666667,0.33333333333333337,0.367:0.367:0.333,0.5433333333333333,0.21333333333333335,0.55:0.54:0.54,0.25:0.22:0.17,https://www.uniprot.org/uniprotkb/ITIH3_HUMAN/entry
A1AG2_HUMAN,LRIF1_HUMAN,970,201,769,3,9.0,11.0,18.0,9.0,18.0,0.3,0.3,0.3,0.3,0.3,0.33,0.28,0.16,0.16,0.33,31.71875,31.703125,31.734375,31.703125,31.734375,A1AG2_HUMAN,LRIF1_HUMAN,0.5777777777777778,0.7,0.4,0.7:0.633:0.4,0.3,0.2566666666666667,0.3:0.3:0.3,0.33:0.28:0.16,https://www.uniprot.org/uniprotkb/LRIF1_HUMAN/entry
A1AG2_HUMAN,ORML1_HUMAN,354,201,153,3,4.0,4.0,5.0,4.0,5.0,0.6,0.58,0.57,0.57,0.6,0.26,0.25,0.22,0.22,0.26,31.671875,31.6875,31.671875,31.671875,31.6875,A1AG2_HUMAN,ORML1_HUMAN,0.8555555555555556,0.8666666666666667,0.8333333333333334,0.867:0.867:0.833,0.5833333333333334,0.24333333333333332,0.6:0.58:0.57,0.26:0.25:0.22,https://www.uniprot.org/uniprotkb/ORML1_HUMAN/entry
A1AG2_HUMAN,PCYOX_HUMAN,706,201,505,3,9.0,17.0,19.0,9.0,19.0,0.67,0.68,0.68,0.67,0.68,0.2,0.15,0.14,0.14,0.2,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,PCYOX_HUMAN,0.5,0.7,0.3666666666666667,0.7:0.433:0.367,0.6766666666666667,0.16333333333333333,0.67:0.68:0.68,0.2:0.15:0.14,https://www.uniprot.org/uniprotkb/PCYOX_HUMAN/entry
A1AG2_HUMAN,RTN4_HUMAN,1393,201,1192,3,5.0,8.0,11.0,5.0,11.0,0.27,0.27,0.26,0.26,0.27,0.41,0.34,0.33,0.33,0.41,31.6875,31.71875,31.71875,31.6875,31.71875,A1AG2_HUMAN,RTN4_HUMAN,0.7333333333333334,0.8333333333333334,0.6333333333333333,0.833:0.733:0.633,0.26666666666666666,0.36000000000000004,0.27:0.27:0.26,0.41:0.34:0.33,https://www.uniprot.org/uniprotkb/RTN4_HUMAN/entry
A1AG2_HUMAN,SCIN_HUMAN,916,201,715,3,19.0,22.0,21.0,19.0,22.0,0.54,0.53,0.45,0.45,0.54,0.16,0.15,0.15,0.15,0.16,31.703125,31.703125,31.703125,31.703125,31.703125,A1AG2_HUMAN,SCIN_HUMAN,0.31111111111111117,0.3666666666666667,0.2666666666666667,0.367:0.267:0.3,0.5066666666666667,0.15333333333333332,0.54:0.53:0.45,0.16:0.15:0.15,https://www.uniprot.org/uniprotkb/SCIN_HUMAN/entry
